Genes	BaseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MTND1P23	253.715674058463	-3.32335996699124e-06	5.99245943134172e-06	-0.554590315557152	0.57917491463702	0.686429528458691
MTND2P28	253.715674058463	3.5323424281438e-07	3.2221096832059e-06	0.109628249049214	0.912704206181541	0.999624259827739
MTCO1P12	253.715674058463	-5.35117905506316e-06	3.23432317330805e-06	-1.65449733014466	0.0980265053421358	0.608117807011452
MTCO2P12	253.715674058463	6.76231489032582e-06	2.32309102847715e-05	0.291091257614588	0.770981525977425	0.913755882639911
MTATP6P1	253.715674058463	3.79301674292979e-06	1.90505749228158e-06	1.99102481594249	0.0464781590819666	0.0826278383679407
MTCO3P12	253.715674058463	3.09643149628046e-05	1.9575628225938e-05	1.58177886325898	0.11370006187699	0.405121495629077
LINC01128	253.715674058463	5.23454356216676e-05	6.07720913547607e-05	0.861340040382978	0.389050789037859	0.618413756997994
KLHL17	253.715674058463	-0.0048343514912723	0.000844808730655942	-5.72242131957931	1.05016483291133e-08	5.60087910886045e-08
PERM1	253.715674058463	4.50253649280978e-05	9.08786604309291e-06	4.95444857072014	7.25356979169688e-07	2.43706890589004e-06
HES4	253.715674058463	-0.000356682322668761	0.00050638128004281	-0.704375016862013	0.481199260174283	0.567853432528418
ISG15	253.715674058463	-0.000518807197181866	0.000269458087257851	-1.92537252253783	0.0541827706096801	0.21673108243872
AGRN	253.715674058463	-0.00018764030762146	0.000271107882872319	-0.692124130192965	0.488859379219715	0.601673082116572
C1orf159	253.715674058463	-0.0071697587159829	0.000903291998989688	-7.93736546321911	2.06520859758238e-15	1.6521668780659e-14
SDF4	253.715674058463	-0.000243138026815376	5.86699905311372e-05	-4.14416338939646	3.41056519287986e-05	0.000136422607715194
B3GALT6	253.715674058463	-0.00136202498712135	0.000253092557931948	-5.38152918541198	7.38557260822392e-08	5.90845808657913e-07
UBE2J2	253.715674058463	-0.000431436034750484	0.00012189325785425	-3.53945773823158	0.000400949963285417	0.00160379985314167
SCNN1D	253.715674058463	-0.00293113560986921	0.000535123987857696	-5.47748872481619	4.31404486338257e-08	1.38049435628242e-07
ACAP3	253.715674058463	-0.000225228116601095	7.11801888082015e-05	-3.16419667286895	0.00155511669298415	0.00366774081099151
CPTP	253.715674058463	0.000293344537264949	6.51178719780357e-05	4.50482376579957	6.64280479108107e-06	2.45077881381617e-05
DVL1	253.715674058463	-3.40622684445681e-06	1.86163042381546e-05	-0.182970089061805	0.854821487869018	0.943251296958917
MXRA8	253.715674058463	-0.000223884309591458	6.77961414594902e-05	-3.30231639694766	0.000958898408599943	0.00236036531347678
AURKAIP1	253.715674058463	-2.25560874555879e-05	4.70074288211556e-05	-0.479840910708066	0.631340520187709	0.808115865840267
CCNL2	253.715674058463	-0.000312695705439475	3.20361955418804e-05	-9.76070036252254	1.66004806786469e-22	1.32803845429175e-21
RP4.758J18.2	253.715674058463	-0.00212020930882349	0.000551227715614323	-3.84634017623841	0.000119895275477681	0.000479581101910723
ATAD3B	253.715674058463	-0.00334484517192467	0.000290363382229488	-11.5195144313379	1.05202164231774e-30	1.68323462770839e-29
ATAD3A	253.715674058463	-0.000655418340659932	0.000134032908739315	-4.88998072805147	1.00845850454978e-06	6.45413442911861e-06
SSU72	253.715674058463	-7.62260675662244e-05	2.89419730078112e-05	-2.63375504999785	0.00844463854573304	0.0168892770914661
RP11.345P4.9	253.715674058463	0.00109805980190349	0.0002317162202626	4.7388128490059	2.14973933817346e-06	9.29933999668601e-06
CDK11B	253.715674058463	-0.000229350785619044	4.83949883191623e-05	-4.73914332009935	2.14623666453549e-06	7.63106369612619e-06
