Genes	BaseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MTND1P23	467.857132335246	-1.38871022583021e-05	5.51768388341971e-06	-2.51683542437652	0.0118414126608577	0.0541321721639208
MTND2P28	467.857132335246	1.62068618520997e-06	2.97387343293466e-06	0.544974835600404	0.585770824996555	0.852030290904079
MTCO1P12	467.857132335246	3.400897498833e-06	2.9810933847176e-06	1.14082219506021	0.253943922373495	0.677183792995987
MTCO2P12	467.857132335246	-3.13828086559669e-06	2.14532670258593e-05	-0.146284519826928	0.883696785785182	0.935415247953113
MTATP6P1	467.857132335246	6.96320097486523e-07	1.76300300775578e-06	0.394962512499003	0.692870554163456	0.788435428914916
MTCO3P12	467.857132335246	-2.90809616254737e-05	1.81438286775199e-05	-1.60280181996564	0.108978414911972	0.405121495629077
LINC01128	467.857132335246	5.55151903877963e-05	5.60959504373761e-05	0.989647023625563	0.322346677206281	0.601447657102652
NOC2L	NA	NA	NA	NA	NA	NA
KLHL17	467.857132335246	-0.00315414691491435	0.000786677212032954	-4.00945504289277	6.08590381471866e-05	0.000108193845594998
PERM1	467.857132335246	1.94058290772792e-05	8.4729733471585e-06	2.29032103397176	0.0220027133668118	0.035204341386899
HES4	467.857132335246	0.00184210877109778	0.000464456104777926	3.9661633298556	7.30388214980455e-05	0.000467448457587491
ISG15	467.857132335246	0.000630240804134397	0.000246545751451794	2.5562833690023	0.0105796923749008	0.0846375389992066
AGRN	467.857132335246	0.00051651077534467	0.000249696862042724	2.06855132707392	0.0385882093865255	0.0823215133579211
C1orf159	467.857132335246	-0.00311780400284962	0.000845947300887891	-3.68557710341677	0.000228184985003296	0.000384311553689761
SDF4	467.857132335246	-0.000162254388689312	5.45853361014156e-05	-2.97249042101445	0.00295394427524109	0.00590788855048218
B3GALT6	467.857132335246	-0.000539923351036986	0.000237146541208084	-2.27674984541828	0.0228011680974268	0.0364818689558828
UBE2J2	467.857132335246	-0.000310781086047247	0.000113105730477132	-2.74770415907514	0.00600141326757853	0.0147727095817318
SCNN1D	467.857132335246	0.0010349784378552	0.000493004033230029	2.09933056951746	0.0357877704528329	0.0497916806300284
