Genes	BaseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MTND1P23	519.669926228478	-1.22463882734791e-05	5.47453997929074e-06	-2.23697120119775	0.0252882223313617	0.0809223114603575
MTND2P28	519.669926228478	-1.35429882964747e-05	2.92572057212917e-06	-4.62894113179747	3.67540223057959e-06	5.88064356892735e-05
MTCO1P12	519.669926228478	-3.87663019363684e-06	2.95819787147478e-06	-1.31047021263124	0.190036814691079	0.608117807011452
MTCO2P12	519.669926228478	-2.95887839653053e-05	2.13004023677347e-05	-1.38911854595412	0.164796705107934	0.382320070724217
MTATP6P1	519.669926228478	-1.27213376651573e-05	1.70916757980168e-06	-7.44300197095557	9.84226183439616e-14	1.04984126233559e-12
MTCO3P12	519.669926228478	-2.41355130653553e-05	1.79843390137809e-05	-1.34202947613815	0.179586438523516	0.442058925596348
LINC01128	519.669926228478	-7.48262406331986e-05	5.56288333922418e-05	-1.34509814551736	0.178593542026455	0.357187084052911
KLHL17	519.669926228478	-7.2270630904225e-05	0.000785250213359919	-0.0920351623910986	0.926670102589233	0.980921430255107
PERM1	519.669926228478	-5.72132306318636e-05	8.22404450784203e-06	-6.95682405139076	3.48029167084452e-12	3.71231111556749e-11
HES4	519.669926228478	-0.00090851775094711	0.000463079459090124	-1.9619046647679	0.0497735846363754	0.119152521468187
ISG15	519.669926228478	-0.000272911563728204	0.000245515796622116	-1.11158453950014	0.266316822954095	0.608724166752217
AGRN	519.669926228478	-6.42200924934641e-05	0.000248216505847482	-0.258726116034057	0.795846567797146	0.821519037726086
C1orf159	519.669926228478	0.00452773817391061	0.000829407596260882	5.45900253906821	4.78816914111159e-08	1.39292193195974e-07
SDF4	519.669926228478	9.4523889127769e-05	5.42844840009845e-05	1.74126899918685	0.081636437558672	0.11874390917625
B3GALT6	519.669926228478	0.00120167349106977	0.000233150412146228	5.15406976984499	2.5489303544438e-07	1.35942952237003e-06
UBE2J2	519.669926228478	0.00017355369664876	0.000112521005463905	1.54241153403516	0.12297362050318	0.178870720731898
SCNN1D	519.669926228478	0.00194895195152256	0.000484587238059579	4.02188047569454	5.77353548353621e-05	0.000108678314984211
ACAP3	519.669926228478	1.6347708334013e-05	6.55116414204642e-05	0.249538982378579	0.802943890798632	0.856473483518541
CPTP	519.669926228478	-0.000640573558803952	5.79580213870314e-05	-11.0523710691629	2.1350028042278e-28	6.83200897352894e-27
DVL1	519.669926228478	-2.67260070791951e-05	1.70209652698461e-05	-1.57018163514746	0.116372860782839	0.310327628754236
MXRA8	519.669926228478	-1.50112322059338e-07	6.21881365318485e-05	-0.00241384177804493	0.998074034783392	0.999999951617008
AURKAIP1	519.669926228478	-9.93683507057305e-05	4.29389121329228e-05	-2.31417951153777	0.0206578773494299	0.0826315093977197
CCNL2	519.669926228478	0.000177995450272676	2.96225648520874e-05	6.00877915742443	1.86925539311862e-09	3.98774483865305e-09
RP4.758J18.2	519.669926228478	0.0014267921497117	0.000506739448430367	2.81563267697276	0.00486812912257278	0.0103853421281553
ATAD3B	519.669926228478	0.00147211473631765	0.000268451508591845	5.48372681546693	4.16457723202867e-08	8.32915446405735e-08
ATAD3A	519.669926228478	0.000318829538307799	0.000124197847741424	2.56711001121043	0.0102550071761285	0.0252430945873933
SSU72	519.669926228478	5.45091707857874e-05	2.66221439580836e-05	2.04751243444599	0.0406077972475113	0.0683920795747558
RP11.345P4.9	519.669926228478	-0.00118131308718158	0.000211868950410189	-5.57567819585881	2.46567362022686e-08	1.49469101882424e-07
CDK11B	519.669926228478	0.000160319458776351	4.47693803534786e-05	3.58100687368334	0.000342272648409934	0.000782337482079849
