Genes	BaseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MTND1P23	405.489772593126	-1.02357953754824e-05	5.35907362739244e-06	-1.90999342184124	0.0561340602978587	0.128306423537963
MTND2P28	405.489772593126	-1.11693382518603e-05	2.86457180782934e-06	-3.89913013223572	9.65388828713481e-05	0.000514874041980523
MTCO1P12	405.489772593126	-2.56565370433526e-06	2.89443584678408e-06	-0.886408903201594	0.37539722330906	0.822960738784629
MTCO2P12	405.489772593126	2.19021281052838e-05	2.07881204644298e-05	1.0535886658325	0.292071280584345	0.58414256116869
MTATP6P1	405.489772593126	-7.67166876450736e-06	1.69659790109145e-06	-4.52179550591926	6.13172826154299e-06	1.96215304369376e-05
MTCO3P12	405.489772593126	-9.4829215983109e-06	1.75886938540085e-05	-0.539148709791759	0.589784247697103	0.857867996650332
LINC01128	405.489772593126	-5.5082856143632e-06	5.44535177585312e-05	-0.10115573503973	0.919426834733571	0.980721957049143
NOC2L	NA	NA	NA	NA	NA	NA
KLHL17	405.489772593126	-0.00492422733784532	0.000750931971662635	-6.55748792655959	5.47217394821681e-11	4.37773915857345e-10
PERM1	405.489772593126	-5.82384601992151e-06	8.2463047434881e-06	-0.706237060244524	0.480040726944185	0.590819356238997
HES4	405.489772593126	-0.00030810754733222	0.000453486102194491	-0.679420043615975	0.496871753462366	0.567853432528418
ISG15	405.489772593126	-0.000285924709399675	0.000240283512520486	-1.18994726854302	0.234067118320956	0.582553467043234
AGRN	405.489772593126	0.000272104736915788	0.00024262510842861	1.12150279366429	0.262073903032433	0.381198404410812
C1orf159	405.489772593126	-0.000877757884464269	0.000824070897777331	-1.06514850461501	0.286808732451277	0.352995363016957
SDF4	405.489772593126	-0.000247374842989539	5.25191050234975e-05	-4.71018770938426	2.47488747828746e-06	1.62039651405396e-05
B3GALT6	405.489772593126	-0.000654233874568774	0.000229812969107572	-2.84681006955068	0.0044159700503126	0.0088319401006252
UBE2J2	405.489772593126	-0.000537587207106474	0.00010865849854953	-4.94749342465305	7.51752425620721e-07	1.20280388099315e-05
SCNN1D	405.489772593126	0.000745519103560058	0.000478688061761564	1.55742155092935	0.119370432761189	0.152794153934322
ACAP3	405.489772593126	-0.000395889456790264	6.30120730417388e-05	-6.28275563205211	3.32623691872953e-10	5.32197906996725e-09
PUSL1	NA	NA	NA	NA	NA	NA
INTS11	NA	NA	NA	NA	NA	NA
