Gene	Cluster_00	Cluster_01	Cluster_02	Cluster_03	Cluster_04	Cluster_05	Cluster_06	Cluster_07	Cluster_08	Cluster_09	Cluster_10	Cluster_11	Cluster_12	Cluster_13	Cluster_14	Cluster_15	Cluster_16	Cluster_17	Cluster_18	Cluster_19	Cluster_20	Cluster_21	Cluster_22	Cluster_23	Cluster_24	Cluster_25	Cluster_26	Cluster_27	Cluster_28	Cluster_29	Cluster_30	Cluster_31	Total_Up_Regulated
PLA2G16	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	22
BRPF3	0	1	0	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	21
ACVR1	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	0	20
ING2	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	0	20
TAB2	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	20
ZNF219	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	20
KTN1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	20
ITPK1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	20
NEDD4	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	20
PARD6A	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	20
MIEN1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	20
LRFN3	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	20
IRAK1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	0	20
