Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MTND1P23	4388.80160205378	-0.122888898421305	0.187861720956959	-0.654145494863534	NA	NA
MTND2P28	31696.6225844656	-0.125073040109994	0.0638160793577498	-1.95989852978653	0.0500076515060637	0.0879506281904076
MTCO1P12	9957.11044375252	-0.0116315366016279	0.101212946363568	-0.114921430701623	0.908507398390789	0.934236932927191
MTCO2P12	975.74255181613	-0.62335892517143	0.110898508799358	-5.62098563741048	1.89871059425253e-08	2.43005021437838e-07
MTATP6P1	105581.041123508	-0.101218782526363	0.0436056497232184	-2.32123092234234	0.020274384122992	0.0408470795174267
MTCO3P12	1441.90921528598	-0.152603212148208	0.120619754402745	-1.2651593671686	0.205814204910109	0.288276859601108
LINC01128	3545.22508198931	-0.106824018139167	0.0379782721868787	-2.81276666862359	0.0049117277922546	0.0121036062664486
NOC2L	5153.10365938278	-0.0129227454463215	0.0240432967019607	-0.537478100716018	0.590937407904078	0.671869111727676
KLHL17	226.82086363499	0.121427329457816	0.0319723225437674	3.7978889175659	0.00014593369245132	0.000570139709422224
PERM1	15040.6943730077	-0.227572613501409	0.0711780910147286	-3.19722839229165	0.00138755015207096	0.00403003002256235
HES4	232.685585964875	0.187504619692443	0.0606507881857043	3.09154464931816	0.00199118034324082	0.00553701115755613
ISG15	254.425980732053	0.107797701080187	0.0580240579702279	1.85781044709934	0.0631959370372412	0.106894154551011
AGRN	661.322080738239	0.0873029951935228	0.042781308664267	2.04068080008133	0.0412825649948531	0.0747572261259569
C1orf159	225.964076522796	0.130370502075025	0.0282706452253169	4.61151491364888	3.99744971591267e-06	2.49483888090871e-05
SDF4	4203.58033365707	-0.0212108109940572	0.0167274872945116	-1.26802134837171	0.204790326888756	0.28705501542806
B3GALT6	672.549442648132	-0.0362497550936154	0.0328460461237995	-1.10362613987044	0.269755347195321	0.359115558261078
UBE2J2	2044.4536706465	-0.0526987845881542	0.0200794123562231	-2.62451827041748	0.00867716370933975	0.0197389842987683
SCNN1D	270.764398747142	0.24706065827276	0.0516693833236301	4.7815677753555	1.73933340998314e-06	1.20386870916311e-05
ACAP3	2933.01839239683	0.0804929086314636	0.0278131220490899	2.8940623238698	0.00380292670880363	0.00971678553182401
PUSL1	252.801552290562	-0.0224278134153878	0.0293523992000325	-0.764087911947008	0.444814855373312	0.536829227069947
INTS11	6078.42533096178	0.0810871469061006	0.0193843498015776	4.18312441408282	2.87529933790179e-05	0.000138655564622489
CPTP	2253.00274956534	-0.129211653713335	0.0578881547757423	-2.2320914220517	0.025608921257689	0.0501197503174849
DVL1	16534.2834711972	-0.0475206139763605	0.0229475184621921	-2.07083890376446	0.038373853265161	0.0704098873681877
MXRA8	1844.3634605269	0.270698550787449	0.0502540145479252	5.38660549256805	7.18007940764508e-08	7.68376671072376e-07
AURKAIP1	5975.4976197436	-0.0615171470745449	0.0223765130460292	-2.74918379588464	0.00597438754679381	0.0143519159732217
CCNL2	6464.68332093311	0.20079514291284	0.0259367336799973	7.74172821413111	9.80744637481433e-15	1.18576200052941e-12
RP4-758J18.2	379.944675847971	-0.0307761725733562	0.0247450797308692	-1.24372897190399	0.213599329354596	0.297021458230147
MRPL20	3822.04477052806	-0.0385838596863142	0.0179522809329561	-2.14924553767892	0.0316149412367357	0.0597544997764013
VWA1	492.153923530163	0.226973660209122	0.0562850642185208	4.03257353190396	5.51693443874093e-05	0.000248513515244909
ATAD3B	635.070601903032	0.208981554579874	0.0303512628439005	6.88543193918113	5.7612454573598e-12	2.4896028373724e-10
ATAD3A	1597.18196714915	-0.0337375508992828	0.0248877540061315	-1.35558841070878	0.175230161285438	0.252599033867199
SSU72	8730.27852847091	-0.0607718019070421	0.0191503990418579	-3.1733961143165	0.00150666810056718	0.00432296969526533
RP11-345P4.9	949.761630271744	-0.121552850473867	0.0408434953724991	-2.97606385950285	0.00291974056441775	0.00774757214910291
MIB2	7349.51158551737	-0.0532370117095108	0.0282090254413575	-1.88723328355256	0.0591289554402505	0.101220150410973
CDK11B	3873.1218057004	-0.0597816488262781	0.0294561660433392	-2.02951221616285	0.0424061459950155	0.0765601031347658
SLC35E2B	2332.50416828689	0.0859921355868104	0.031612583104587	2.72018693639537	0.00652450201409104	0.0154836010420014
CDK11A	1125.75161188119	0.034218448030104	0.03360641950669	1.01821165516583	0.308577381723966	0.401027094716166
RP1-283E3.4	230.564738712192	0.0472046701195864	0.0423283901544933	1.11520116752126	0.264764225879649	0.353340233339856
NADK	1460.40846893835	0.17128242072238	0.0306130932952533	5.59507068006545	2.20531909168238e-08	2.76333533373432e-07
GNB1	4115.82722546701	0.100527304418223	0.0169508341638118	5.93052255993621	3.01972088001979e-09	5.12991446957024e-08
CALML6	844.291957088348	-0.178268075838646	0.116398417181944	-1.53153350496161	0.125637592323998	0.190789849914783
TMEM52	4972.32191473474	-0.024185351266469	0.0653158309840269	-0.370283144256154	0.711171531618769	0.776861251138726
FAAP20	680.427480851262	0.0789789350833928	0.021126455426831	3.73839025467036	0.000185202306123967	0.000699044905047787
SKI	3472.33580106576	0.024653976870819	0.0289146453398243	0.852646697930025	0.393855257868371	0.487122103131357
RER1	3444.33727919787	-0.0126195577771102	0.0157111238673064	-0.803224383162718	0.421845054653607	0.515069729924607
PEX10	669.114266460552	-0.0331098162139494	0.0296252564024199	-1.11762125411495	0.263728787353544	0.352357145125609
PANK4	2431.72215675942	-0.00707478548599142	0.0236153457534545	-0.299584243222715	0.764494304529171	0.820441715861571
TNFRSF14	578.347983542172	0.300630888494563	0.0378406162513964	7.9446615376796	1.94721723308671e-15	3.3530490687925e-13
MEGF6	741.95265526092	0.220799335724602	0.0505757410358435	4.36571627429284	1.26706861924043e-05	6.83771835596744e-05
TPRG1L	4036.79977957525	-0.0294786680864666	0.0176827595866502	-1.66708527263594	0.0954974501455526	0.151836670523812
