pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0.00137931034482759	0.040273556231003	0.521212456794238	2.49848346820464	0	184	VCAM1, P3H1, ADAMTS9, ACTN1, COL7A1, HTRA1, LAMA3, ADAMTS1, SERPINH1, MFAP4, LAMA5, COL4A6, COL27A1, VCAN, ADAMTS4, ITGA5, P3H3, TIMP2, CTSK, COL1A1, MMP2, PTPRS, ITGA3, COL18A1, CD44, ADAM15, COL6A1, ITGB4, BGN, CAPN15, COL16A1, PCOLCE, FBLN1, COL5A1, COL6A2, JAM3, CD47, TIMP1, TGFB1, EMILIN1, EFEMP1, LUM, ADAMTS2, FBLN5, LOXL4, ELN, FGF2, PHYKPL, ASPN, SERPINE1, PPIB, BMP1, PXDN, LAMA4, ITGA9, A2M, DDR2, F11R, CAPN10, COL14A1, CAPN5, COL6A3, COL1A2, LTBP2, COLGALT1, THBS1, COL3A1, MMP14, COL4A5, LRP4, TNC, LTBP3, BMP2, LOXL2, LOX, PECAM1, COL5A2, COL11A2, PLOD3, TNXB, FN1, COL12A1, COMP, FBLN2, FMOD, LTBP4
REACTOME_COMPLEMENT_CASCADE	0.00173913043478261	0.040273556231003	0.78023633789074	2.49058867972345	0	21	CD81, CFD, C7, CLU, CFB, CFI, SERPING1, C1S, C1R, PROS1, CFH, C3, C8G
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	0.00161290322580645	0.040273556231003	0.631612275150339	2.35687804498443	0	43	P3H1, COL7A1, SERPINH1, COL4A6, COL27A1, P3H3, COL1A1, COL18A1, COL6A1, COL16A1, PCOLCE, COL5A1, COL6A2, ADAMTS2, PPIB, BMP1, COL14A1, COL6A3, COL1A2, COLGALT1, COL3A1, COL4A5, COL5A2, COL11A2, PLOD3, COL12A1, COL8A1, COL4A2, PLOD2
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	0.00173913043478261	0.040273556231003	0.738172715300326	2.35631759138238	0	21	ADAMTS9, POFUT2, THBS2, ADAMTS1, ADAMTS4, ADAMTS13, ADAMTSL4, ADAMTS2, ADAMTS10, SPON2, ADAMTS17, THBS1
REACTOME_COLLAGEN_FORMATION	0.0015600624024961	0.040273556231003	0.594766115865766	2.35470830746431	0	60	P3H1, COL7A1, LAMA3, SERPINH1, COL4A6, COL27A1, P3H3, COL1A1, COL18A1, COL6A1, ITGB4, COL16A1, PCOLCE, COL5A1, COL6A2, ADAMTS2, LOXL4, PPIB, BMP1, PXDN, COL14A1, COL6A3, COL1A2, COLGALT1, COL3A1, COL4A5, LOXL2, LOX, COL5A2, COL11A2, PLOD3, COL12A1
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	0.00155038759689922	0.040273556231003	0.559498604789238	2.30052375338012	0	73	ADAMTS9, COL7A1, HTRA1, LAMA3, ADAMTS1, LAMA5, COL4A6, ADAMTS4, TIMP2, CTSK, COL1A1, MMP2, COL18A1, CD44, ADAM15, COL6A1, CAPN15, COL16A1, COL5A1, COL6A2, TIMP1, ELN, PHYKPL, BMP1, A2M, CAPN10, COL14A1, CAPN5, COL6A3, COL1A2, COL3A1, MMP14, COL4A5, COL5A2, COL11A2, FN1, COL12A1
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.00163934426229508	0.040273556231003	0.598967164890163	2.24512375156393	0	45	IRF3, STAT2, IFITM2, IFITM1, HLA-F, IFITM3, PSMB8, HLA-A, HLA-B, ADAR, MX2, IFI35, IP6K2, HLA-H, XAF1, IRF1, BST2, SOCS3, HLA-E, HLA-C, IRF9, EGR1, MX1, RNASEL, IFI27, TYK2, IRF7
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	0.00163398692810458	0.040273556231003	0.60724166253254	2.24420571068813	0	42	COL7A1, LAMA3, COL4A6, COL27A1, COL1A1, COL18A1, COL6A1, ITGB4, PCOLCE, COL5A1, COL6A2, LOXL4, BMP1, PXDN, COL14A1, COL6A3, COL1A2, COL3A1, COL4A5, LOXL2, LOX, COL5A2, COL11A2, COL12A1
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.00169204737732657	0.040273556231003	0.643112051430088	2.24082847489776	0	31	NPDC1, VCAM1, CD81, IFITM1, HLA-F, PILRB, HLA-A, MICA, HLA-B, COL1A1, NECTIN2, B2M, HLA-E, C3, HLA-C, COL1A2, COL3A1, CLEC2B, LILRB5, CD99
REACTOME_ECM_PROTEOGLYCANS	0.00158982511923688	0.040273556231003	0.575480860503154	2.22519706558001	0	52	LAMA3, LAMA5, COL4A6, VCAN, COL1A1, PTPRS, COL6A1, BGN, COL5A1, COL6A2, TGFB1, LUM, ASPN, SERPINE1, LAMA4, ITGA9, COL6A3, COL1A2, COL3A1, COL4A5, LRP4, TNC, COL5A2, TNXB, FN1, COMP, FMOD, DCN, COL4A2, AGRN
