pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	0.00103199174406605	0.0569132182035408	0.673776111734487	2.23557518344267	0	39	PCOLCE, P3H3, COL7A1, COL6A2, COL27A1, COL6A1, PLOD2, COL12A1, SERPINH1, COL5A1, COL18A1, PPIB, COL6A3, COL1A1, COL8A1, COL4A6, COL4A2, COLGALT1, COL4A1, COL16A1, COL1A2, BMP1, ADAMTS2, PLOD3, COL4A5, COL14A1, COL21A1, CRTAP
REACTOME_COMPLEMENT_CASCADE	0.00111731843575419	0.0569132182035408	0.733525999814741	2.16672395608181	0	20	CFB, C1R, CD81, C3, CFD, CLU, CFI, PROS1, C7, SERPING1, C1S, CFH, C8G
REACTOME_COLLAGEN_FORMATION	0.00102040816326531	0.0569132182035408	0.601509571962608	2.07155725868977	0	52	PCOLCE, P3H3, COL7A1, COL6A2, COL27A1, COL6A1, PLOD2, COL12A1, SERPINH1, COL5A1, COL18A1, PPIB, COL6A3, COL1A1, PXDN, COL8A1, COL4A6, COL4A2, COLGALT1, COL4A1, COL16A1, LOXL4, COL1A2, BMP1, LOX, ADAMTS2, PLOD3, COL4A5, COL14A1, COL21A1, CRTAP
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	0.00109529025191676	0.0569132182035408	0.67254224601578	2.05921373141318	0	24	COL7A1, COL6A2, COL27A1, COL6A1, COL12A1, COL5A1, COL18A1, COL6A3, COL1A1, COL8A1, COL4A6, COL4A2, COL4A1, COL16A1, COL1A2, COL4A5, COL14A1, COL21A1, COL3A1, COL15A1
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0.000999000999000999	0.0569132182035408	0.531703048824207	2.00799057999759	0	168	VCAN, BGN, TNC, PCOLCE, P3H3, HTRA1, ACTN1, COL7A1, ADAMTS1, CD44, MFAP4, ICAM2, TGFB1, SERPINE1, COL6A2, COL27A1, LAMA4, PTPRS, COL6A1, F11R, MUSK, VCAM1, EMILIN1, PLOD2, COL12A1, SERPINH1, COL5A1, ADAMTS4, MMP2, COL18A1, FBLN1, PPIB, ITGA9, ADAMTS9, COL6A3, ITGA5, LUM, FBLN5, LTBP2, EFEMP1, CD47, SH3PXD2A, JAM3, LAMA5, THBS1, TGFB3, TIMP2, ITGA3, LTBP3, COL1A1, PXDN, PHYKPL, COL8A1, CAPN2, AGRN, COL4A6, BMP2, FBLN2, FN1, COL4A2, FGF2, A2M, CTSK, ADAM15, COLGALT1, COL4A1, COL16A1, APP, LOXL4, SDC2, NTN4, COL1A2, BMP1, LOX, LTBP1, ADAMTS2, PLOD3, CAPN10, TNXB, NCAM1, COL4A5, LRP4, COL14A1, COL21A1, CRTAP, CAPN15, FBN1, CAPN5, MMP14, DCN, DDR2, CAPNS1, PECAM1, ITGA1, BMP4, COL3A1, LAMB1, ITGA11, ADAM10, COL15A1, FMOD, SDC3, ADAMTS5, LTBP4, NID2, ITGAM
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	0.00118063754427391	0.0579988193624557	0.747028769350224	1.9998938859653	0	13	PCOLCE, COL1A1, PXDN, COL4A6, COL4A2, COL4A1, LOXL4, COL1A2, BMP1, LOX, COL4A5
REACTOME_ECM_PROTEOGLYCANS	0.0010183299389002	0.0569132182035408	0.574762270367055	1.95990240980129	0	47	VCAN, BGN, TNC, TGFB1, SERPINE1, COL6A2, LAMA4, PTPRS, COL6A1, MUSK, COL5A1, ITGA9, COL6A3, LUM, LAMA5, TGFB3, COL1A1, AGRN, COL4A6, FN1, COL4A2, COL4A1, APP, COL1A2, TNXB, NCAM1, COL4A5, LRP4
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	0.00104166666666667	0.0569132182035408	0.58436679692859	1.91607391739964	0	36	PCOLCE, COL7A1, COL6A2, COL27A1, COL6A1, COL12A1, COL5A1, COL18A1, COL6A3, COL1A1, PXDN, COL8A1, COL4A6, COL4A2, COL4A1, LOXL4, COL1A2, BMP1, LOX, COL4A5, COL14A1
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	0.00101010101010101	0.0569132182035408	0.535575508080449	1.90708389338375	0	67	HTRA1, COL7A1, ADAMTS1, CD44, COL6A2, COL6A1, COL12A1, COL5A1, ADAMTS4, MMP2, COL18A1, ADAMTS9, COL6A3, LAMA5, TIMP2, COL1A1, PHYKPL, COL8A1, CAPN2, COL4A6, FN1, COL4A2, A2M, CTSK, ADAM15, COL4A1, COL16A1, COL1A2, BMP1, CAPN10, COL4A5, COL14A1, CAPN15, FBN1, CAPN5, MMP14, DCN, CAPNS1, COL3A1, LAMB1, ADAM10, COL15A1, ADAMTS5
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.00102040816326531	0.0569132182035408	0.548984206704469	1.89066354271646	0	52	TNC, COL7A1, CD44, ICAM2, COL6A2, COL6A1, F11R, VCAM1, COL5A1, COL18A1, ITGA9, COL6A3, ITGA5, LUM, CD47, JAM3, THBS1, ITGA3, COL1A1, COL8A1, AGRN, COL4A6, FN1, COL4A2, COL4A1, COL16A1, COL1A2, COL4A5, FBN1, PECAM1, ITGA1, COL3A1, ITGA11
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	0.00109289617486339	0.0569132182035408	0.602456414204712	1.84481279767331	0	23	MFAP4, TGFB1, EMILIN1, FBLN1, FBLN5, LTBP2, EFEMP1, TGFB3, LTBP3, BMP2, FBLN2, FN1, LTBP1, FBN1, BMP4, LTBP4
REACTOME_ELASTIC_FIBRE_FORMATION	0.00106269925611052	0.0569132182035408	0.586246837372534	1.83948955006753	0	28	MFAP4, TGFB1, EMILIN1, FBLN1, ITGA5, FBLN5, LTBP2, EFEMP1, TGFB3, LTBP3, BMP2, FBLN2, FN1, LOXL4, LOX, LTBP1
REACTOME_COLLAGEN_DEGRADATION	0.00104384133611691	0.0569132182035408	0.562121023910957	1.82955969561974	0	34	COL7A1, COL6A2, COL6A1, COL12A1, COL5A1, MMP2, COL18A1, COL6A3, COL1A1, PHYKPL, COL8A1, COL4A6, COL4A2, CTSK, COL4A1, COL16A1, COL1A2, COL4A5, COL14A1, MMP14, COL3A1, ADAM10, COL15A1
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	0.00273972602739726	0.110225546336333	0.904526533460821	1.8228514798497	1	5	PTGFR, PTGIR, LTB4R, PTGER4
REACTOME_GPCR_LIGAND_BINDING	0.00100603621730382	0.0569132182035408	0.504847103550803	1.81224646343778	0	73	PTGFR, PTGIR, CXCR4, ACKR1, AVPR1A, LTB4R, GABBR1, WNT11, GNB4, S1PR1, RAMP3, ANXA1, C3, LPAR1, PTGER4, CXCL12, GPR4, EDNRA, LPAR6, SAA1, CMKLR1, FZD1, WNT2B, GNB1, FZD6, APP, GNG12, SMO, PTCH1, ADM, GNG10, FZD3, RAMP1, CXCL2, CNR1, PTCH2, EDNRB, CALCRL, AGTR1, F2R
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.0010515247108307	0.0569132182035408	0.555916141467454	1.78975015497504	0	32	PSMB8, IRF3, IFITM3, IFITM2, STAT2, IRF1, EGR1, MX1, BST2, GBP2, IFNAR2, XAF1, IFIT5, IRF7, ADAR, IP6K2
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	0.00106269925611052	0.0569132182035408	0.568228532443786	1.78295281244535	0	28	WNT11, GNB4, RAMP3, FZD1, WNT2B, GNB1, FZD6, GNG12, SMO, PTCH1, ADM, GNG10, FZD3, RAMP1, PTCH2, CALCRL
