SMPLID	Mophological.cluster.G4_0	Mophological.cluster.G4_1	Mophological.cluster.G4_2	Mophological.cluster.G4_3	Mophological.cluster.G4_4	Mophological.cluster.G4_5	Mophological.cluster.G4_6	Mophological.cluster.G4_7	Mophological.cluster.G4_8	Mophological.cluster.G4_9	Mophological.cluster.G4_10	Mophological.cluster.G4_11	Mophological.cluster.G4_12	Mophological.cluster.G4_13	Mophological.cluster.G4_14	Mophological.cluster.G4_15	Mophological.cluster.G4_16	Mophological.cluster.G4_17	Mophological.cluster.G4_18	Mophological.cluster.G4_19	Mophological.cluster.G4_20	Mophological.cluster.G4_21	Mophological.cluster.G4_22	Mophological.cluster.G4_23	Mophological.cluster.G4_24	Mophological.cluster.G4_25	Mophological.cluster.G4_26	Mophological.cluster.G4_27	Mophological.cluster.G4_28	Mophological.cluster.G4_29	Mophological.cluster.G4_30	Mophological.cluster.G4_31
GTEX.1117F.0426	15	10	20	317	263	429	47	308	9	10	31	293	258	636	57	107	1	106	250	12	2	219	38	169	3	0	137	0	5	218	3	89
GTEX.111CU.2026	483	789	232	188	239	56	2982	149	414	552	627	733	42	44	350	187	840	168	991	166	183	51	187	464	564	549	244	1578	637	827	118	238
GTEX.111FC.0326	313	354	49	67	25	176	121	236	127	310	100	72	48	54	193	148	567	63	35	15	137	59	82	342	764	508	106	202	36	228	646	399
GTEX.111VG.2626	99	200	73	409	238	304	36	418	1002	1224	50	809	1042	263	153	247	250	174	71	135	4412	241	64	671	215	49	235	52	23	2692	397	317
GTEX.111YS.2326	440	147	39	98	61	148	32	447	92	300	149	173	230	327	257	36	120	32	64	19	33	38	66	199	21	67	67	20	117	105	386	96
GTEX.1122O.2426	362	434	87	324	142	111	1482	45	72	232	627	421	169	230	59	72	169	41	327	4	803	83	149	179	417	319	154	1119	400	1178	797	785
GTEX.1128S.2426	355	295	133	42	31	120	31	229	1142	557	171	100	384	127	155	113	448	200	22	125	669	33	78	462	450	423	467	193	114	271	500	285
GTEX.113JC.2726	772	653	288	99	44	269	8	304	2326	1201	137	250	146	48	1523	97	955	54	20	8	134	49	231	1468	174	507	196	31	319	53	361	36
GTEX.117XS.2526	301	373	212	578	138	96	164	604	284	488	176	196	2445	413	203	122	285	324	54	122	897	46	19	279	639	641	345	284	379	589	332	611
GTEX.117YW.2426	779	387	14	97	12	93	15	183	490	990	119	83	580	139	776	62	490	116	51	145	213	27	144	203	111	191	267	91	749	82	81	83
