Gene	Cluster_00	Cluster_01	Cluster_02	Cluster_03	Cluster_04	Cluster_05	Cluster_06	Cluster_07	Cluster_08	Cluster_09	Cluster_10	Cluster_11	Cluster_12	Cluster_13	Cluster_14	Cluster_15	Cluster_16	Cluster_17	Cluster_18	Cluster_19	Cluster_20	Cluster_21	Cluster_22	Cluster_23	Cluster_24	Cluster_25	Cluster_26	Cluster_27	Cluster_28	Cluster_29	Cluster_30	Cluster_31	Total_Up_Regulated
ENPEP	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	1	1	23
FN3K	0	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1	1	22
IRF2BP2	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	21
SLC25A36	0	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1	0	21
LINC00950	0	0	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	19
CRY2	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	19
RYR3	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	19
GLOD4	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	0	19
RBM24	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	0	0	18
FAM127A	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	0	18
HMGN2	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	17
SLC16A1.AS1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	17
TARBP1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	17
SPAG16	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	17
SRGAP3	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	17
PIGZ	0	0	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	0	17
VEGFC	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	17
KCNQ5	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	1	1	1	17
TMEM184A	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	17
COG5	0	0	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1	17
NOXA1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	17
MAP3K8	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	1	17
AS3MT	0	0	0	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	0	17
WNT11	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	1	0	17
RIMKLB	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	1	17
PAK6	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	17
RRN3P3	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	17
SCARF1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	17
FHOD3	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	17
LDLR	0	1	0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	17
RASIP1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	17
UCKL1	0	0	0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	17
DMD	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	1	1	17
PPIH	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	16
FGGY	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	16
PATJ	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	16
ACP6	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	16
SEMA4A	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	16
MARC2	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	1	0	16
FAHD2B	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	16
LONRF2	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	1	1	0	0	1	0	16
BCL2L11	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	16
GLS	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	16
IKZF2	0	1	0	1	0	1	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	0	16
SEMA3F	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	16
ADAMTS9	0	0	0	0	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	16
DZIP3	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	16
KALRN	0	1	0	1	0	1	0	0	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	16
MCM2	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	16
RP11.689P11.2	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	16
ENAM	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	16
FAM47E	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	16
MEF2C.AS1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	0	0	0	16
HLA.DRB1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	16
HSD17B8	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	0	0	16
PM20D2	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	1	16
ANGPT2	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	16
APBA1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	16
POLL	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	16
TPCN2	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	16
